,常绿林,夜间灯光,降水数值,县均年降雪量,公立学校,GDP,人均收入,移民,就业,% in Poverty,Clinical Care Rank,Length of Life Rank
55,0.1466179599777258,0.13639590305242874,0.7553403588721164,0.05747126436781608,0.22857142857142854,0.04775766161280856,0.30243793832795285,0.8614026211837631,0.05188254492887627,0.17391304347826086,0.7042253521126761,0.49999999999999994
56,0.023658757798712227,0.7906229929351317,0.291085160922814,0.2758620689655173,0.11428571428571428,0.021122694048613475,0.47865969052655,0.8183516868053822,0.031006013517476467,0.17391304347826086,0.28169014084507044,0.11428571428571427
57,0.11126746982227098,0.03911029983436433,0.17915123896325857,0.13793103448275862,0.22857142857142854,0.035915057441363904,0.2313926305243238,0.8043888511118613,0.046388266913233535,0.34782608695652173,0.5211267605633804,0.5142857142857143
58,0.011110091319076996,0.06551059730250482,0.29507262888066066,0.08045977011494254,0.05714285714285715,0.012302679475395912,0.20681286875208726,0.830695582935665,0.013550252374528633,0.13043478260869568,0.3802816901408451,0.2857142857142857
59,0.02719350476855291,0.2899638305783727,0.8516092281401311,0.0919540229885058,0.5714285714285714,0.7952350641581857,0.5275520427474117,0.5014014692766502,0.7404009701670191,0.30434782608695654,0.056338028169014086,0.09999999999999999
60,0.24704583436965893,0.028191866950613525,0.1928225576758762,0.16091954022988503,0.05714285714285715,0.020829428281342776,0.13616831793387496,0.8221993115973562,0.021307793422046806,0.30434782608695654,0.3098591549295775,0.5285714285714286
61,0.003239287891969978,0.06909373626745091,0.5326117915123896,0.05747126436781608,0.14285714285714285,0.027821065108253995,0.2459979962150728,0.9106766168488093,0.033553909476378915,0.043478260869565216,0.2112676056338028,0.028571428571428574
62,0.37945716345934316,0.02765101578609336,0.4064369125605243,0.08045977011494254,0.02857142857142857,0.0004629916933294757,,,,0.9999999999999999,0.8873239436619719,1.0
63,0.0652746276963068,0.10928573843085555,0.8627171745941329,0.5402298850574712,0.14285714285714285,0.0169330130357447,0.06300790381832344,0.8296706618928406,0.023179470548254772,0.4347826086956522,0.8309859154929577,0.24285714285714283
64,0.015327448890757458,0.23087584085454485,0.505838792366847,0.022988505747126464,0.2857142857142857,0.3206213012445325,0.29662696203940764,0.64520038880053,0.32453156320403526,0.21739130434782605,0.19718309859154928,0.22857142857142856
65,1.0000000000000002,0.11915627218334855,0.6898319567074909,0.2528735632183908,0.0,0.008401542456518817,0.023934097740175853,0.8228778103903509,0.008261255075953867,0.4782608695652174,0.9014084507042254,0.9142857142857143
66,0.8533670392650025,0.27853834972788427,0.44631159213899174,0.06896551724137928,0.05714285714285715,0.012334541525337512,0.11263497717911608,0.8109413323293464,0.015592709256952806,0.34782608695652173,0.7605633802816901,0.8857142857142858
67,0.3435824590231218,0.02014670587837609,0.17430931358587332,0.05747126436781608,0.08571428571428572,0.008190471255193356,0.17448513859512416,0.8098060024774504,0.011999434184242031,0.3913043478260869,0.323943661971831,0.5857142857142857
68,0.32816279735542997,0.08379812730284285,0.6149245229279408,0.0919540229885058,0.08571428571428572,0.03813093802668603,0.0772347768006233,0.7919137183317198,0.0450289290556742,0.3913043478260869,0.36619718309859156,0.7714285714285715
69,0.055047829698813985,0.02717777101713822,0.7553403588721164,0.08045977011494254,0.02857142857142857,0.011260417461895291,0.11466102638316811,0.8173142265522878,0.012943035463537662,0.4347826086956522,0.7323943661971831,0.7571428571428571
70,0.11803222756600582,0.009262076192407803,0.07120478496154936,0.05747126436781608,0.05714285714285715,0.008568986853472186,0.11203384170099084,0.8063202082869091,0.010165708114971004,0.34782608695652173,0.8028169014084507,0.5571428571428572
71,0.2984203441133107,0.12747185883784606,0.1612076331529484,0.12643678160919541,0.14285714285714285,0.0695036694130193,0.3788266726038071,0.9703222396389728,0.08000082802306044,0.043478260869565216,0.4084507042253521,0.04285714285714286
